Transaction Date, Details                           , Amount in US dollars, Reference Number, Country                                            , Address                           , Discription
2024-04-17      , Palmer Ltd                        , 4730.07             , 100994715       , Christmas Island                                   , 825 Jamie Place                   , generate one-to-one e-services
2024-05-04      , Meyer Group                       , 6475.2              , 026379236       , Dominican Republic                                 , 362 Sarah Manors Suite 489        , synergize 24/365 vortals
2024-05-06      , "Hernandez, Rice and Perez"       , -6184.04            , 114865364       , Angola                                             , 86151 Williams Road Apt. 571      , orchestrate best-of-breed synergies
2024-05-05      , Kemp Ltd                          , -4705.15            , 072259711       , Thailand                                           , 6587 Jennifer Roads Suite 312     , iterate sticky partnerships
2024-04-18      , Clay Ltd                          , -5474.27            , 100558122       , Germany                                            , 82881 Joel Mall Suite 808         , engage enterprise paradigms
2024-05-04      , Graham and Sons                   , 3999.15             , 013391094       , Congo                                              , 532 Hicks Inlet Apt. 180          , synergize value-added info-mediaries
2024-05-11      , "Munoz, Martinez and Young"       , -2216.95            , 097417693       , Niue                                               , 85059 Hamilton Alley              , brand robust methodologies
2024-04-29      , Warren-Haynes                     , 7359.83             , 052893579       , Saint Lucia                                        , 1627 Wood Drives                  , revolutionize cross-platform technologies
2024-04-18      , Hall LLC                          , -4390.9             , 097497464       , Cote d'Ivoire                                      , 953 William Mount Apt. 636        , extend strategic relationships
2024-05-02      , Wells and Sons                    , -2402.92            , 035016629       , Norway                                             , 632 Price Lake                    , incentivize 24/7 synergies
2024-04-16      , Mcfarland-Chen                    , -2563.48            , 045419575       , Marshall Islands                                   , 870 Vernon Lane                   , disintermediate web-enabled deliverables
